Timestamp,Current,Power,Wind_speed,Temp,Humidity,GHI,DHI,Wind_dir
2013/8/14 15:35,11.46433258,6.208333969,3.100189729,28.22647095,17.15265274,526.5852051,54.47836304,179.38569640000003
2013/8/14 15:40,11.15233421,6.106199741,3.415439212,27.3999157,17.83418655,512.3876953,55.94786835,146.2405396
2013/8/14 15:45,10.89899826,6.010433197,2.373577268,27.66121864,17.74726295,493.8525391,51.69921112,191.35140990000002
2013/8/14 15:50,10.55700111,5.924665928,3.51501905,27.72447014,17.45117188,475.4532471,48.1398468,179.8641815
2013/8/14 15:55,10.28499794,5.852333069,3.287408068,27.31400871,17.8037262,463.11318969999996,51.06847,160.9730988
2013/8/14 16:00,9.947666168,5.73429966,2.978990342,27.43411064,17.78521919,444.84051510000006,48.53467941,178.3173218
2013/8/14 16:05,9.628333092,5.623000622,2.980865638,27.74668884,17.36573029,426.7207642,45.83721924,188.6396179
2013/8/14 16:10,9.260334015,5.503099917999999,2.903741669,27.53569412,17.52998543,409.92913819999995,45.63343048,194.3617249
2013/8/14 16:15,8.927666664,5.405266762,3.275644751,27.70532608,17.22253036,394.48165889999996,44.60077286,188.9895477
2013/8/14 16:20,8.548999786,5.31099987,3.35520112,27.52892494,17.37376213,380.20077510000004,44.0649147,179.6738129
2013/8/14 16:25,8.196666718,5.202799797,3.511229251,27.42059708,17.45132256,364.4637146,45.6009903,201.7063751
2013/8/14 16:30,7.847999096000001,5.076900005,3.446892211,27.53358459,17.30031586,345.70898439999996,44.11130142,198.3595428
2013/8/14 16:35,7.453333378,4.928800106000001,2.810951733,27.17469406,17.50692177,327.7512817,43.16897202,165.7160492
2013/8/14 16:40,7.079667091,4.79709959,3.830079388,27.29893684,17.45239639,311.53900150000004,43.02525711,193.2428894
2013/8/14 16:45,6.694665908999999,4.679800033999999,3.5259298880000003,27.02529907,17.60617447,295.39605710000006,43.90436554,171.5489807
2013/8/14 16:50,6.282666206,4.555966853999999,3.112198352,26.82810974,17.95581627,276.70178219999997,44.20206833,172.2493134
2013/8/14 16:55,5.869999409,4.406133652,3.054143912,27.07202148,17.65090752,256.6022339,41.35984421,201.7973022
2013/8/14 17:00,5.461333752000001,4.246333599,3.229973251,26.88320541,17.72702789,237.742569,39.70905685,191.6573181
2013/8/14 17:05,5.059999943,4.0714664460000005,3.334512994,26.54236221,17.98587227,220.1637421,40.13520813,186.1364136
2013/8/14 17:10,4.652666569,3.91740036,2.947012027,26.267494199999998,18.05844498,202.9228668,41.13399887,175.64582819999998
2013/8/14 17:15,4.238999843999999,3.7407670019999997,3.155548183,26.08077049,18.23833847,181.12950130000002,41.32684326,155.3720093
2013/8/14 17:20,3.8316669460000004,3.563533306,3.068159757,25.92905045,18.42424583,158.5449219,38.76668167,159.7891541
2013/8/14 17:25,3.2826669219999998,3.376399994,2.439801526,25.79256821,18.61370087,124.82937620000001,37.74850082,165.5762024
2013/8/14 17:30,2.40566659,3.154099941,2.698602451,25.72721291,18.64777565,55.665542599999995,37.17598343,171.7045593
2013/8/14 17:35,2.025333166,2.920400143,2.047414828,25.58978462,18.87078476,37.23901367,33.18371201,176.7011414
2013/8/14 17:40,1.514666796,2.673700094,1.657887831,25.43297577,19.01877403,32.3719368,29.14280128,181.49125669999998
2013/8/14 17:45,1.392000198,2.3884332180000003,1.838552833,25.21512222,19.30519104,28.39707184,26.24429893,168.69502260000002
2013/8/14 17:50,1.329666615,2.0493335719999997,2.289288816,25.10346031,19.46145821,26.02034569,24.02713585,171.3997192
2013/8/14 17:55,1.297333002,1.5737334490000001,1.960721657,24.90947151,19.55424881,24.69223595,23.00898552,160.9798584
2013/8/14 18:00,1.278999686,0.546600044,2.153311306,24.65808868,19.62300491,22.20650101,20.67470169,165.69975280000003
2013/8/14 18:05,1.244666696,0.303033292,1.969288309,24.37852478,19.93997574,19.50042725,17.780548100000004,173.35968019999999
2013/8/14 18:10,1.206000328,0.061833325999999994,1.772777201,24.01852989,20.34258652,16.40361023,14.627842900000001,178.7597046
2013/8/14 18:15,1.1846669909999998,0.012966664,1.470553859,23.70748901,20.74177933,12.64721394,11.08619785,180.0445709
2013/8/14 18:20,1.0856667759999998,-0.0074,1.478517576,23.36645699,21.16905975,9.880119323999999,8.182138443,173.0705261
2013/8/14 18:25,0.30000004199999997,-0.001066666,1.5347599019999998,23.17175293,21.36372185,7.378971099999999,5.709416866000001,177.8085022
2013/8/15 7:20,1.340999722,-0.0011,0.606027399,7.538687229,56.81416321,22.701023100000004,11.21843338,68.19355774
2013/8/15 7:25,1.285666466,0.165199965,0.520144819,7.704531192999999,56.74175262,32.52523041,13.0563612,67.73949432
2013/8/15 7:30,1.299999833,1.235933304,0.59802037,8.055695534,56.28160477,43.91161346,15.17730141,98.422966
2013/8/15 7:35,1.4216665030000002,1.141233325,0.838639083,8.642476082,54.49962616,57.28736496,16.3030014,134.6571045
2013/8/15 7:40,1.508999825,1.813566685,1.276930135,9.321573257,52.05163574,72.11579132,18.28432846,127.695549
2013/8/15 7:45,1.826666713,2.181066751,0.9701443190000001,10.26669407,49.61623383,85.62310791,20.32834625,114.10491940000001
2013/8/15 7:50,3.151000261,2.972499847,0.8143898409999999,11.35785675,45.70002747,105.26152040000001,22.16208076,70.67446136
2013/8/15 7:55,3.588666439,3.378366709,0.7599250590000001,11.73597336,45.26212311,125.87625890000001,24.04701805,67.3560791
2013/8/15 8:00,4.016666412,3.588766575,0.8378145509999999,12.30821037,44.03158569,146.5326996,25.91614532,98.1295929
